round_epochs,val_loss,val_accuracy,loss,accuracy,activation,conv_dropout
10,nan,0.45945945382118225,nan,0.51711494,relu,0.1
10,nan,0.45945945382118225,nan,0.51711494,relu,0.2
10,0.7275712892815873,0.45945945382118225,0.6989653898917667,0.50977993,softmax,0.1
10,0.7003546348367921,0.45945945382118225,0.6948408191536342,0.49511003,softmax,0.2
